cid,cname,,,,
4,Quartzose sandstone,,,,4
5,Feldspathic sandstone,,,,5
6,Lithic sandstone,,,,6
7,Feldspatho-quartzo-lithic sandstone,,,,7
8,Litho-quartzose sandstone,,,,8
9,Quartzo-lithic-feldspatho sandstone,,,,9
10,Lithic-quartzo-feldspatho sandstone,,,,10
11,Quartzo-feldspathic sandstone,,,,11
12,Feldspatho-quartzose sandstone,,,,12
13,Lithic-feldspatho-quartzo sandstone,,,,13
14,Quartzo-feldspatho-lithic sandstone,,,,14
15,Feldspatho-lithic-quartzo sandstone,,,,15
16,Feldspatho-lithic sandstone,,,,16
17,Litho-feldspathic sandstone,,,,17
18,Quartzo-lithic sandstone,,,,18
20,Quartz arenite,,,,20
21,Arkose,,,,21
22,Litharenite,,,,22
23,Subarkose,,,,23
24,Sublitharenite,,,,24
25,Lithic arkose,,,,25
26,Feldspathic litharenite,,,,26
20,Quartz arenite,,,,28
29,Lithic arenite,,,,29
23,Subarkose,,,,30
31,Sublithic arenite,,,,31
32,Arkosic arenite,,,,32
33,Feldspathic wacke,,,,33
34,Lithic wacke,,,,34
35,Quartz wacke,,,,35
4,Quartzose sandstone,,,,37
5,Feldspathic sandstone,,,,38
39,Subgraywacke,,,,39
21,Arkose,,,,40
41,Graywacke,,,,41
43,Quartzarenite,,,,43
23,Subarkose,,,,44
24,Sublitharenite,,,,45
46,Lithic Subarkose,,,,46
21,Arkose,,,,47
22,Litharenite,,,,48
25,Lithic arkose,,,,49
26,Feldspathic Litharenite,,,,50
35,Quartz Wacke,,,,53
33,Feldspathic Wacke,,,,54
55,Subfeldspathic lithic Wacke,,,,55
21,Arkose,,,,56
57,Arkosic Wacke,,,,57
57,Arkosic Wacke,,,,58
34,Lithic Wacke,,,,59
34,Lithic Wacke,,,,60
20,Quartz Arenite,,,,62
63,Feldspathic Arenite,,,,63
64,Subfeldspathic lithic Arenite,,,,64
21,Arkose,,,,65
32,Arkosic Arenite,,,,66
32,Arkosic Arenite,,,,67
29,Lithic Arenite,,,,68
29,Lithic Arenite,,,,69
71,Quartzose arenite,,,,71
72,Sublabile feldspathic arenite,,,,72
73,Sublabile lithic arenite,,,,73
63,Feldspathic arenite,,,,74
75,Litho-feldspathic arenite,,,,75
76,Feldspatho-lithic arenite,,,,76
29,Lithic arenite,,,,77
35,Quartz wacke,,,,81
34,Lithic wacke,,,,82
33,Feldspathic wacke,,,,83
20,Quartz arenite,,,,84
29,Lithic arenite,,,,85
63,Feldspathic arenite,,,,86
4,Quartzose sandstone,,,,88
5,Feldspathic sandstone,,,,89
90,Sub-graywacke,,,,90
21,Arkose,,,,91
41,Graywacke,,,,92
